Date,Rate
29-Jan-10,0.8909
26-Feb-10,0.8899
31-Mar-10,0.9159
30-Apr-10,0.93
31-May-10,0.849
30-Jun-10,0.8523
30-Jul-10,0.8986
31-Aug-10,0.8918
30-Sep-10,0.9667
29-Oct-10,0.9761
30-Nov-10,0.9618
31-Dec-10,1.0163
31-Jan-11,0.9924
28-Feb-11,1.0163
31-Mar-11,1.0334
29-Apr-11,1.09
31-May-11,1.0709
30-Jun-11,1.0739
29-Jul-11,1.0954
31-Aug-11,1.0691
30-Sep-11,0.9781
31-Oct-11,1.0509
30-Nov-11,1.0021
30-Dec-11,1.0156
31-Jan-12,1.0637
29-Feb-12,1.0816
30-Mar-12,1.0402
30-Apr-12,1.0453
31-May-12,0.9727
29-Jun-12,1.0191
31-Jul-12,1.0526
31-Aug-12,1.0301
28-Sep-12,1.0464
31-Oct-12,1.0378
30-Nov-12,1.0431
31-Dec-12,1.0384
31-Jan-13,1.0394
28-Feb-13,1.0275
29-Mar-13,1.0426
30-Apr-13,1.0368
31-May-13,0.9649
28-Jun-13,0.9275
31-Jul-13,0.9037
30-Aug-13,0.8947
30-Sep-13,0.9309
31-Oct-13,0.949
29-Nov-13,0.9087
31-Dec-13,0.8948
31-Jan-14,0.8763
28-Feb-14,0.8947
31-Mar-14,0.9221
30-Apr-14,0.9287
30-May-14,0.9319
30-Jun-14,0.942
31-Jul-14,0.9324
29-Aug-14,0.9349
30-Sep-14,0.8752
31-Oct-14,0.8805
28-Nov-14,0.8491
31-Dec-14,0.8202
30-Jan-15,0.7781
27-Feb-15,0.7792
31-Mar-15,0.7634
30-Apr-15,0.7981
29-May-15,0.7663
30-Jun-15,0.768
31-Jul-15,0.7294
31-Aug-15,0.7149
30-Sep-15,0.701
30-Oct-15,0.7099
30-Nov-15,0.7189
31-Dec-15,0.7306
29-Jan-16,0.71
29-Feb-16,0.714
31-Mar-16,0.7657
29-Apr-16,0.7655
31-May-16,0.7242
30-Jun-16,0.7426
29-Jul-16,0.7522
31-Aug-16,0.7514
30-Sep-16,0.763
31-Oct-16,0.7613
30-Nov-16,0.7474
30-Dec-16,0.7236
31-Jan-17,0.7567
28-Feb-17,0.7688
31-Mar-17,0.7644
28-Apr-17,0.7475
31-May-17,0.745
30-Jun-17,0.7692
31-Jul-17,0.7987
31-Aug-17,0.7898
29-Sep-17,0.7839
31-Oct-17,0.7673
30-Nov-17,0.7585
29-Dec-17,0.78
31-Jan-18,0.8073
28-Feb-18,0.7792
29-Mar-18,0.7665
30-Apr-18,0.757
31-May-18,0.7564
29-Jun-18,0.7391
31-Jul-18,0.7431
31-Aug-18,0.726
28-Sep-18,0.7222
31-Oct-18,0.7085
30-Nov-18,0.7316
31-Dec-18,0.7058
31-Jan-19,0.7268
28-Feb-19,0.7146
29-Mar-19,0.7087
30-Apr-19,0.7039
31-May-19,0.6916
28-Jun-19,0.7013
31-Jul-19,0.6894
30-Aug-19,0.6718
30-Sep-19,0.6749
31-Oct-19,0.6926
29-Nov-19,0.6777
31-Dec-19,0.7006
31-Jan-20,0.6724
28-Feb-20,0.6524
31-Mar-20,0.6175
30-Apr-20,0.6566
29-May-20,0.6659
30-Jun-20,0.6863
31-Jul-20,0.7213
31-Aug-20,0.7354
30-Sep-20,0.7108
30-Oct-20,0.7044
30-Nov-20,0.7393
31-Dec-20,0.7702
29-Jan-21,0.7645
26-Feb-21,0.7829
31-Mar-21,0.7602
30-Apr-21,0.7776
31-May-21,0.7725
30-Jun-21,0.7518
30-Jul-21,0.7381
31-Aug-21,0.7335
30-Sep-21,0.7206
29-Oct-21,0.7546
30-Nov-21,0.7144
31-Dec-21,0.7256
31-Jan-22,0.7011
28-Feb-22,0.7182
31-Mar-22,0.7482
29-Apr-22,0.7148
31-May-22,0.7187
30-Jun-22,0.6889
29-Jul-22,0.7007
31-Aug-22,0.6902
30-Sep-22,0.6502
31-Oct-22,0.642
30-Nov-22,0.6698
30-Dec-22,0.6775
31-Jan-23,0.7037
28-Feb-23,0.673
31-Mar-23,0.6712
28-Apr-23,0.661
31-May-23,0.6495
30-Jun-23,0.663
31-Jul-23,0.6682
31-Aug-23,0.6485
29-Sep-23,0.6458
31-Oct-23,0.6346
30-Nov-23,0.6648
29-Dec-23,0.684
31-Jan-24,0.6574
29-Feb-24,0.6519
28-Mar-24,0.6532
30-Apr-24,0.6525
31-May-24,0.6637
28-Jun-24,0.6624
31-Jul-24,0.6491
30-Aug-24,0.6806
30-Sep-24,0.6932
31-Oct-24,0.6569
29-Nov-24,0.6517
31-Dec-24,0.6217
31-Jan-25,0.6225
28-Feb-25,0.6214
31-Mar-25,0.628
30-Apr-25,0.6416
30-May-25,0.6436
30-Jun-25,0.655
31-Jul-25,0.6469
29-Aug-25,0.6538
30-Sep-25,0.6602
31-Oct-25,0.6551
28-Nov-25,0.6533
31-Dec-25,0.6693
30-Jan-26,0.7004
27-Feb-26,0.7126
31-Mar-26,0.6845
30-Apr-26,0.7113
29-May-26,0.7164
30-Jun-26,0.6869
31-Jul-26,0.703
